Category,Indicator,Scraped_At
Thị trường hàng hoá,"Mối quan hệ giữa vàng và lãi suất, bơm tiền",2025-12-16T00:08:27.972991
Thị trường hàng hoá,%HUY ĐỘNG,2025-12-16T00:08:27.972995
Thị trường hàng hoá,VĐT phát triển XH,2025-12-16T00:08:27.972999
Thị trường hàng hoá,BÁN LẺ,2025-12-16T00:08:27.973003
Thị trường hàng hoá,USD.VND 2025,2025-12-16T00:08:27.973006
Thị trường hàng hoá,Bóc tách CPI YOY,2025-12-16T00:08:27.973010
Thị trường hàng hoá,"​
​
Khung thời gian:
Quarterly
Kiểu giá trị:
Value",2025-12-16T00:08:27.973020
Thị trường hàng hoá,"Khung thời gian:
Quarterly",2025-12-16T00:08:27.973026
Thị trường hàng hoá,Khung thời gian:,2025-12-16T00:08:27.973030
Thị trường hàng hoá,Quarterly,2025-12-16T00:08:27.973033
Thị trường hàng hoá,"Kiểu giá trị:
Value",2025-12-16T00:08:27.973037
Thị trường hàng hoá,Kiểu giá trị:,2025-12-16T00:08:27.973041
Thị trường hàng hoá,Value,2025-12-16T00:08:27.973043
Thị trường hàng hoá,Q3-2025,2025-12-16T00:08:27.973047
Thị trường hàng hoá,Q2-2025,2025-12-16T00:08:27.973050
Thị trường hàng hoá,Q1-2025,2025-12-16T00:08:27.973052
Thị trường hàng hoá,Q4-2024,2025-12-16T00:08:27.973054
Thị trường hàng hoá,Q3-2024,2025-12-16T00:08:27.973057
Thị trường hàng hoá,Q2-2024,2025-12-16T00:08:27.973059
Thị trường hàng hoá,Q1-2024,2025-12-16T00:08:27.973062
Thị trường hàng hoá,Q4-2023,2025-12-16T00:08:27.973064
Thị trường hàng hoá,Q3-2023,2025-12-16T00:08:27.973066
Thị trường hàng hoá,Q2-2023,2025-12-16T00:08:27.973069
Thị trường hàng hoá,Q1-2023,2025-12-16T00:08:27.973071
Thị trường hàng hoá,Q4-2022,2025-12-16T00:08:27.973074
Thị trường hàng hoá,Q3-2022,2025-12-16T00:08:27.973076
Thị trường hàng hoá,Q2-2022,2025-12-16T00:08:27.973078
Thị trường hàng hoá,Q1-2022,2025-12-16T00:08:27.973080
Thị trường hàng hoá,GDP THỰC,2025-12-16T00:08:27.973084
Thị trường hàng hoá,"Nông nghiệp, lâm nghiệp và thủy sản",2025-12-16T00:08:27.973112
Thị trường hàng hoá,Nông nghiệp,2025-12-16T00:08:27.973135
Thị trường hàng hoá,Lâm nghiệp,2025-12-16T00:08:27.973159
Thị trường hàng hoá,Thủy sản,2025-12-16T00:08:27.973182
Thị trường hàng hoá,Công nghiệp và xây dựng,2025-12-16T00:08:27.973207
Thị trường hàng hoá,Dịch vụ,2025-12-16T00:08:27.973230
Thị trường hàng hoá,Thuế sản phẩm trừ trợ cấp sản phẩm,2025-12-16T00:08:27.973255
Thị trường hàng hoá,"Thông tin mới nhất
Tin quan trọng",2025-12-16T00:08:27.973280
Thị trường hàng hoá,Thông tin mới nhất,2025-12-16T00:08:27.973285
Thị trường hàng hoá,Tin quan trọng,2025-12-16T00:08:27.973289
Thị trường hàng hoá,"THỊ TRƯỜNG
ĐỊNH GIÁ
DÒNG TIỀN
QUỐC TẾ",2025-12-16T00:08:27.973295
Thị trường hàng hoá,"VNINDEX
Đóng cửa
1,646.01
-0.88
-0.05%",2025-12-16T00:08:27.973302
Thị trường hàng hoá,"VNINDEX
Đóng cửa",2025-12-16T00:08:27.973306
Thị trường hàng hoá,Đóng cửa,2025-12-16T00:08:27.973311
Thị trường hàng hoá,"1,646.01
-0.88
-0.05%",2025-12-16T00:08:27.973315
Thị trường hàng hoá,"Chart
Chart with 121 data points.",2025-12-16T00:08:27.973319
Thị trường hàng hoá,Chart with 121 data points.,2025-12-16T00:08:27.973322
Thị trường hàng hoá,End of interactive chart.,2025-12-16T00:08:27.973325
Thị trường hàng hoá,"PHÂN BỔ DÒNG TIỀN
0
3
6
9
12
Tăng giá:
126 CP
Giảm giá:
189 CP
Không đổi:
60 CP
6.45 Nghìn tỷ
7.34 Nghìn tỷ
2.13 Nghìn tỷ",2025-12-16T00:08:27.973338
Thị trường hàng hoá,PHÂN BỔ DÒNG TIỀN,2025-12-16T00:08:27.973343
Thị trường hàng hoá,"0
3
6
9
12
Tăng giá:
126 CP
Giảm giá:
189 CP
Không đổi:
60 CP
6.45 Nghìn tỷ
7.34 Nghìn tỷ
2.13 Nghìn tỷ",2025-12-16T00:08:27.973354
Thị trường hàng hoá,"Tăng giá:
126 CP",2025-12-16T00:08:27.973358
Thị trường hàng hoá,Tăng giá:,2025-12-16T00:08:27.973362
Thị trường hàng hoá,126 CP,2025-12-16T00:08:27.973364
Thị trường hàng hoá,"Giảm giá:
189 CP",2025-12-16T00:08:27.973368
Thị trường hàng hoá,Giảm giá:,2025-12-16T00:08:27.973372
Thị trường hàng hoá,189 CP,2025-12-16T00:08:27.973374
Thị trường hàng hoá,"Không đổi:
60 CP",2025-12-16T00:08:27.973378
Thị trường hàng hoá,Không đổi:,2025-12-16T00:08:27.973381
Thị trường hàng hoá,60 CP,2025-12-16T00:08:27.973384
Thị trường hàng hoá,6.45 Nghìn tỷ,2025-12-16T00:08:27.973388
Thị trường hàng hoá,7.34 Nghìn tỷ,2025-12-16T00:08:27.973392
Thị trường hàng hoá,2.13 Nghìn tỷ,2025-12-16T00:08:27.973396
Thị trường hàng hoá,TÁC ĐỘNG ĐẾN INDEX,2025-12-16T00:08:27.973400
Thị trường hàng hoá,"VPB
TCX
BSR
VNM
VRE
VPX
GEE
MCH
LPB
VHM
VIC
VPL
-4
-2
0
2
1.63
1.45
0.98
0.81
0.71
-0.49
-0.73
-0.84
-0.91
-1.42
-1.83
-2.29",2025-12-16T00:08:27.973406
Thị trường hàng hoá,"Tác động tăng
Tác động giảm",2025-12-16T00:08:27.973427
Thị trường hàng hoá,Tác động tăng,2025-12-16T00:08:27.973431
Thị trường hàng hoá,Tác động giảm,2025-12-16T00:08:27.973435
Thị trường hàng hoá,"1Y
2Y
3Y
5Y
10Y
All",2025-12-16T00:08:27.973438
Thị trường hàng hoá,"DIỄN BIẾN THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:27.973448
Thị trường hàng hoá,"Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:27.973451
Thị trường hàng hoá,"Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:27.973456
Thị trường hàng hoá,Vốn hoá,2025-12-16T00:08:27.973460
Thị trường hàng hoá,LNST,2025-12-16T00:08:27.973462
Thị trường hàng hoá,SLCP lưu hành,2025-12-16T00:08:27.973466
Thị trường hàng hoá,"PE THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Average: 14.18
P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:27.973477
Thị trường hàng hoá,"Q4/2024
Q2/2025
Q3/2025
Average: 14.18",2025-12-16T00:08:27.973480
Thị trường hàng hoá,Average: 14.18,2025-12-16T00:08:27.973483
Thị trường hàng hoá,"P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:27.973488
Thị trường hàng hoá,P/E thị trường,2025-12-16T00:08:27.973493
Thị trường hàng hoá,Trung bình,2025-12-16T00:08:27.973496
Thị trường hàng hoá,"E/P VNINDEX - LÃI SUẤT HUY ĐỘNG 12 THÁNG
Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:27.973506
Thị trường hàng hoá,"GIÁ TRỊ TỰ DOANH RÒNG
1D
1W
1M",2025-12-16T00:08:27.973511
Thị trường hàng hoá,"1D
1W
1M",2025-12-16T00:08:27.973514
Thị trường hàng hoá,"Chart
Chart with 15 data points.",2025-12-16T00:08:27.973517
Thị trường hàng hoá,Chart with 15 data points.,2025-12-16T00:08:27.973520
Thị trường hàng hoá,"27/11
01/12
03/12
05/12
09/12
11/12
-500
0
500
1000
-5500
-5000
-4500
-4000",2025-12-16T00:08:27.973527
Thị trường hàng hoá,"GIÁ TRỊ KHỐI NGOẠI RÒNG
1D
1W
1M",2025-12-16T00:08:27.973533
Thị trường hàng hoá,"28/11
02/12
04/12
08/12
10/12
12/12
-1K
0
1K
2K
-123K
-121.5K
-120K
-118.5K",2025-12-16T00:08:27.973537
Thị trường hàng hoá,"Ghi chú: gdp-thuc
Cá nhân
Thêm ghi chú bằng cách điền
vào ô bên dưới
Nhập ghi chú",2025-12-16T00:08:27.973548
Thị trường hàng hoá,"Ghi chú: gdp-thuc
Cá nhân",2025-12-16T00:08:27.973553
Thị trường hàng hoá,Ghi chú: gdp-thuc,2025-12-16T00:08:27.973556
Thị trường hàng hoá,gdp-thuc,2025-12-16T00:08:27.973559
Thị trường hàng hoá,Cá nhân,2025-12-16T00:08:27.973562
Thị trường hàng hoá,"Thêm ghi chú bằng cách điền
vào ô bên dưới",2025-12-16T00:08:27.973569
Thị trường hàng hoá,Nhập ghi chú,2025-12-16T00:08:27.973572
Thị trường hàng hoá,"Thị trường
Ngành
Cổ phiếu",2025-12-16T00:08:27.973577
Thị trường hàng hoá,Thị trường,2025-12-16T00:08:27.973581
Thị trường hàng hoá,Ngành,2025-12-16T00:08:27.973584
Thị trường hàng hoá,Cổ phiếu,2025-12-16T00:08:27.973587
Giao dịch quốc tế,"Thư viện
Sửa đồ thị",2025-12-16T00:08:32.070190
Giao dịch quốc tế,FDI dăng ký dự án,2025-12-16T00:08:32.070198
Giao dịch quốc tế,FDI thực hiện,2025-12-16T00:08:32.070201
Giao dịch quốc tế,"Mối quan hệ giữa vàng và lãi suất, bơm tiền",2025-12-16T00:08:32.070206
Giao dịch quốc tế,%HUY ĐỘNG,2025-12-16T00:08:32.070208
Giao dịch quốc tế,VĐT phát triển XH,2025-12-16T00:08:32.070210
Giao dịch quốc tế,BÁN LẺ,2025-12-16T00:08:32.070212
Giao dịch quốc tế,USD.VND 2025,2025-12-16T00:08:32.070214
Giao dịch quốc tế,Bóc tách CPI YOY,2025-12-16T00:08:32.070216
Giao dịch quốc tế,"​
​
Khung thời gian:
Quarterly
Kiểu giá trị:
Value",2025-12-16T00:08:32.070221
Giao dịch quốc tế,"Khung thời gian:
Quarterly",2025-12-16T00:08:32.070224
Giao dịch quốc tế,Khung thời gian:,2025-12-16T00:08:32.070226
Giao dịch quốc tế,Quarterly,2025-12-16T00:08:32.070228
Giao dịch quốc tế,"Kiểu giá trị:
Value",2025-12-16T00:08:32.070230
Giao dịch quốc tế,Kiểu giá trị:,2025-12-16T00:08:32.070232
Giao dịch quốc tế,Value,2025-12-16T00:08:32.070233
Giao dịch quốc tế,Q3-2025,2025-12-16T00:08:32.070235
Giao dịch quốc tế,Q2-2025,2025-12-16T00:08:32.070237
Giao dịch quốc tế,Q1-2025,2025-12-16T00:08:32.070238
Giao dịch quốc tế,Q4-2024,2025-12-16T00:08:32.070239
Giao dịch quốc tế,Q3-2024,2025-12-16T00:08:32.070240
Giao dịch quốc tế,Q2-2024,2025-12-16T00:08:32.070241
Giao dịch quốc tế,Q1-2024,2025-12-16T00:08:32.070243
Giao dịch quốc tế,Q4-2023,2025-12-16T00:08:32.070244
Giao dịch quốc tế,Q3-2023,2025-12-16T00:08:32.070245
Giao dịch quốc tế,Q2-2023,2025-12-16T00:08:32.070246
Giao dịch quốc tế,Q1-2023,2025-12-16T00:08:32.070248
Giao dịch quốc tế,Q4-2022,2025-12-16T00:08:32.070249
Giao dịch quốc tế,Q3-2022,2025-12-16T00:08:32.070250
Giao dịch quốc tế,Q2-2022,2025-12-16T00:08:32.070251
Giao dịch quốc tế,Q1-2022,2025-12-16T00:08:32.070252
Giao dịch quốc tế,GDP THỰC,2025-12-16T00:08:32.070254
Giao dịch quốc tế,"Nông nghiệp, lâm nghiệp và thủy sản",2025-12-16T00:08:32.070269
Giao dịch quốc tế,Nông nghiệp,2025-12-16T00:08:32.070281
Giao dịch quốc tế,Lâm nghiệp,2025-12-16T00:08:32.070293
Giao dịch quốc tế,Thủy sản,2025-12-16T00:08:32.070305
Giao dịch quốc tế,Công nghiệp và xây dựng,2025-12-16T00:08:32.070318
Giao dịch quốc tế,Dịch vụ,2025-12-16T00:08:32.070330
Giao dịch quốc tế,Thuế sản phẩm trừ trợ cấp sản phẩm,2025-12-16T00:08:32.070344
Giao dịch quốc tế,"Thông tin mới nhất
Tin quan trọng",2025-12-16T00:08:32.070357
Giao dịch quốc tế,Thông tin mới nhất,2025-12-16T00:08:32.070359
Giao dịch quốc tế,Tin quan trọng,2025-12-16T00:08:32.070362
Giao dịch quốc tế,"THỊ TRƯỜNG
ĐỊNH GIÁ
DÒNG TIỀN
QUỐC TẾ",2025-12-16T00:08:32.070365
Giao dịch quốc tế,"VNINDEX
Đóng cửa
1,646.01
-0.88
-0.05%",2025-12-16T00:08:32.070369
Giao dịch quốc tế,"VNINDEX
Đóng cửa",2025-12-16T00:08:32.070371
Giao dịch quốc tế,Đóng cửa,2025-12-16T00:08:32.070373
Giao dịch quốc tế,"1,646.01
-0.88
-0.05%",2025-12-16T00:08:32.070375
Giao dịch quốc tế,"Chart
Chart with 121 data points.",2025-12-16T00:08:32.070376
Giao dịch quốc tế,Chart with 121 data points.,2025-12-16T00:08:32.070378
Giao dịch quốc tế,End of interactive chart.,2025-12-16T00:08:32.070379
Giao dịch quốc tế,"PHÂN BỔ DÒNG TIỀN
0
3
6
9
12
6.45 Nghìn tỷ
7.34 Nghìn tỷ
2.13 Nghìn tỷ
Tăng giá:
126 CP
Giảm giá:
189 CP
Không đổi:
60 CP",2025-12-16T00:08:32.070386
Giao dịch quốc tế,PHÂN BỔ DÒNG TIỀN,2025-12-16T00:08:32.070389
Giao dịch quốc tế,"0
3
6
9
12
6.45 Nghìn tỷ
7.34 Nghìn tỷ
2.13 Nghìn tỷ
Tăng giá:
126 CP
Giảm giá:
189 CP
Không đổi:
60 CP",2025-12-16T00:08:32.070395
Giao dịch quốc tế,6.45 Nghìn tỷ,2025-12-16T00:08:32.070397
Giao dịch quốc tế,7.34 Nghìn tỷ,2025-12-16T00:08:32.070407
Giao dịch quốc tế,2.13 Nghìn tỷ,2025-12-16T00:08:32.070409
Giao dịch quốc tế,"Tăng giá:
126 CP",2025-12-16T00:08:32.070411
Giao dịch quốc tế,Tăng giá:,2025-12-16T00:08:32.070413
Giao dịch quốc tế,126 CP,2025-12-16T00:08:32.070415
Giao dịch quốc tế,"Giảm giá:
189 CP",2025-12-16T00:08:32.070417
Giao dịch quốc tế,Giảm giá:,2025-12-16T00:08:32.070419
Giao dịch quốc tế,189 CP,2025-12-16T00:08:32.070420
Giao dịch quốc tế,"Không đổi:
60 CP",2025-12-16T00:08:32.070422
Giao dịch quốc tế,Không đổi:,2025-12-16T00:08:32.070424
Giao dịch quốc tế,60 CP,2025-12-16T00:08:32.070425
Giao dịch quốc tế,TÁC ĐỘNG ĐẾN INDEX,2025-12-16T00:08:32.070427
Giao dịch quốc tế,"VPB
TCX
BSR
VNM
VRE
VPX
GEE
MCH
LPB
VHM
VIC
VPL
-4
-2
0
2
1.63
1.45
0.98
0.81
0.71
-0.49
-0.73
-0.84
-0.91
-1.42
-1.83
-2.29",2025-12-16T00:08:32.070430
Giao dịch quốc tế,"Tác động tăng
Tác động giảm",2025-12-16T00:08:32.070442
Giao dịch quốc tế,Tác động tăng,2025-12-16T00:08:32.070444
Giao dịch quốc tế,Tác động giảm,2025-12-16T00:08:32.070446
Giao dịch quốc tế,"1Y
2Y
3Y
5Y
10Y
All",2025-12-16T00:08:32.070447
Giao dịch quốc tế,"DIỄN BIẾN THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:32.070452
Giao dịch quốc tế,"Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:32.070454
Giao dịch quốc tế,"Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:32.070457
Giao dịch quốc tế,Vốn hoá,2025-12-16T00:08:32.070459
Giao dịch quốc tế,LNST,2025-12-16T00:08:32.070460
Giao dịch quốc tế,SLCP lưu hành,2025-12-16T00:08:32.070462
Giao dịch quốc tế,"PE THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Average: 14.18
P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:32.070467
Giao dịch quốc tế,"Q4/2024
Q2/2025
Q3/2025
Average: 14.18",2025-12-16T00:08:32.070469
Giao dịch quốc tế,Average: 14.18,2025-12-16T00:08:32.070471
Giao dịch quốc tế,"P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:32.070474
Giao dịch quốc tế,P/E thị trường,2025-12-16T00:08:32.070476
Giao dịch quốc tế,Trung bình,2025-12-16T00:08:32.070478
Giao dịch quốc tế,"E/P VNINDEX - LÃI SUẤT HUY ĐỘNG 12 THÁNG
Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:32.070483
Giao dịch quốc tế,"GIÁ TRỊ TỰ DOANH RÒNG
1D
1W
1M",2025-12-16T00:08:32.070486
Giao dịch quốc tế,"1D
1W
1M",2025-12-16T00:08:32.070487
Giao dịch quốc tế,"Chart
Chart with 15 data points.",2025-12-16T00:08:32.070489
Giao dịch quốc tế,Chart with 15 data points.,2025-12-16T00:08:32.070491
Giao dịch quốc tế,"27/11
01/12
03/12
05/12
09/12
11/12
-500
0
500
1000
-5500
-5000
-4500
-4000",2025-12-16T00:08:32.070493
Giao dịch quốc tế,"GIÁ TRỊ KHỐI NGOẠI RÒNG
1D
1W
1M",2025-12-16T00:08:32.070496
Giao dịch quốc tế,"28/11
02/12
04/12
08/12
10/12
12/12
-1K
0
1K
2K
-123K
-121.5K
-120K
-118.5K",2025-12-16T00:08:32.070498
Giao dịch quốc tế,"Ghi chú: gdp-thuc
Cá nhân
Thêm ghi chú bằng cách điền
vào ô bên dưới
Nhập ghi chú",2025-12-16T00:08:32.070504
Giao dịch quốc tế,"Ghi chú: gdp-thuc
Cá nhân",2025-12-16T00:08:32.070506
Giao dịch quốc tế,Ghi chú: gdp-thuc,2025-12-16T00:08:32.070508
Giao dịch quốc tế,gdp-thuc,2025-12-16T00:08:32.070509
Giao dịch quốc tế,Cá nhân,2025-12-16T00:08:32.070511
Giao dịch quốc tế,"Thêm ghi chú bằng cách điền
vào ô bên dưới",2025-12-16T00:08:32.070514
Giao dịch quốc tế,Nhập ghi chú,2025-12-16T00:08:32.070516
Giao dịch quốc tế,"Thị trường
Ngành
Cổ phiếu",2025-12-16T00:08:32.070519
Giao dịch quốc tế,Thị trường,2025-12-16T00:08:32.070521
Giao dịch quốc tế,Ngành,2025-12-16T00:08:32.070522
Giao dịch quốc tế,Cổ phiếu,2025-12-16T00:08:32.070524
Đầu tư,"Thư viện
Sửa đồ thị",2025-12-16T00:08:36.182689
Đầu tư,FDI dăng ký dự án,2025-12-16T00:08:36.182705
Đầu tư,FDI thực hiện,2025-12-16T00:08:36.182713
Đầu tư,"Mối quan hệ giữa vàng và lãi suất, bơm tiền",2025-12-16T00:08:36.182721
Đầu tư,%HUY ĐỘNG,2025-12-16T00:08:36.182725
Đầu tư,VĐT phát triển XH,2025-12-16T00:08:36.182730
Đầu tư,BÁN LẺ,2025-12-16T00:08:36.182733
Đầu tư,USD.VND 2025,2025-12-16T00:08:36.182736
Đầu tư,Bóc tách CPI YOY,2025-12-16T00:08:36.182740
Đầu tư,"​
​
Khung thời gian:
Quarterly
Kiểu giá trị:
Value",2025-12-16T00:08:36.182750
Đầu tư,"Khung thời gian:
Quarterly",2025-12-16T00:08:36.182756
Đầu tư,Khung thời gian:,2025-12-16T00:08:36.182760
Đầu tư,Quarterly,2025-12-16T00:08:36.182763
Đầu tư,"Kiểu giá trị:
Value",2025-12-16T00:08:36.182767
Đầu tư,Kiểu giá trị:,2025-12-16T00:08:36.182771
Đầu tư,Value,2025-12-16T00:08:36.182774
Đầu tư,Q3-2025,2025-12-16T00:08:36.182777
Đầu tư,Q2-2025,2025-12-16T00:08:36.182780
Đầu tư,Q1-2025,2025-12-16T00:08:36.182782
Đầu tư,Q4-2024,2025-12-16T00:08:36.182785
Đầu tư,Q3-2024,2025-12-16T00:08:36.182787
Đầu tư,Q2-2024,2025-12-16T00:08:36.182790
Đầu tư,Q1-2024,2025-12-16T00:08:36.182792
Đầu tư,Q4-2023,2025-12-16T00:08:36.182794
Đầu tư,Q3-2023,2025-12-16T00:08:36.182797
Đầu tư,Q2-2023,2025-12-16T00:08:36.182799
Đầu tư,Q1-2023,2025-12-16T00:08:36.182801
Đầu tư,Q4-2022,2025-12-16T00:08:36.182804
Đầu tư,Q3-2022,2025-12-16T00:08:36.182806
Đầu tư,Q2-2022,2025-12-16T00:08:36.182808
Đầu tư,Q1-2022,2025-12-16T00:08:36.182811
Đầu tư,GDP THỰC,2025-12-16T00:08:36.182815
Đầu tư,"Nông nghiệp, lâm nghiệp và thủy sản",2025-12-16T00:08:36.182842
Đầu tư,Nông nghiệp,2025-12-16T00:08:36.182865
Đầu tư,Lâm nghiệp,2025-12-16T00:08:36.182888
Đầu tư,Thủy sản,2025-12-16T00:08:36.182911
Đầu tư,Công nghiệp và xây dựng,2025-12-16T00:08:36.182935
Đầu tư,Dịch vụ,2025-12-16T00:08:36.182958
Đầu tư,Thuế sản phẩm trừ trợ cấp sản phẩm,2025-12-16T00:08:36.182982
Đầu tư,"Thông tin mới nhất
Tin quan trọng",2025-12-16T00:08:36.183006
Đầu tư,Thông tin mới nhất,2025-12-16T00:08:36.183011
Đầu tư,Tin quan trọng,2025-12-16T00:08:36.183015
Đầu tư,"THỊ TRƯỜNG
ĐỊNH GIÁ
DÒNG TIỀN
QUỐC TẾ",2025-12-16T00:08:36.183022
Đầu tư,"VNINDEX
Đóng cửa
1,646.01
-0.88
-0.05%",2025-12-16T00:08:36.183031
Đầu tư,"VNINDEX
Đóng cửa",2025-12-16T00:08:36.183035
Đầu tư,Đóng cửa,2025-12-16T00:08:36.183039
Đầu tư,"1,646.01
-0.88
-0.05%",2025-12-16T00:08:36.183042
Đầu tư,"Chart
Chart with 121 data points.",2025-12-16T00:08:36.183045
Đầu tư,Chart with 121 data points.,2025-12-16T00:08:36.183048
Đầu tư,End of interactive chart.,2025-12-16T00:08:36.183051
Đầu tư,"PHÂN BỔ DÒNG TIỀN
0
3
6
9
12
6.45 Nghìn tỷ
7.34 Nghìn tỷ
2.13 Nghìn tỷ
Tăng giá:
126 CP
Giảm giá:
189 CP
Không đổi:
60 CP",2025-12-16T00:08:36.183064
Đầu tư,PHÂN BỔ DÒNG TIỀN,2025-12-16T00:08:36.183069
Đầu tư,"0
3
6
9
12
6.45 Nghìn tỷ
7.34 Nghìn tỷ
2.13 Nghìn tỷ
Tăng giá:
126 CP
Giảm giá:
189 CP
Không đổi:
60 CP",2025-12-16T00:08:36.183080
Đầu tư,6.45 Nghìn tỷ,2025-12-16T00:08:36.183084
Đầu tư,7.34 Nghìn tỷ,2025-12-16T00:08:36.183088
Đầu tư,2.13 Nghìn tỷ,2025-12-16T00:08:36.183092
Đầu tư,"Tăng giá:
126 CP",2025-12-16T00:08:36.183096
Đầu tư,Tăng giá:,2025-12-16T00:08:36.183100
Đầu tư,126 CP,2025-12-16T00:08:36.183102
Đầu tư,"Giảm giá:
189 CP",2025-12-16T00:08:36.183106
Đầu tư,Giảm giá:,2025-12-16T00:08:36.183109
Đầu tư,189 CP,2025-12-16T00:08:36.183112
Đầu tư,"Không đổi:
60 CP",2025-12-16T00:08:36.183116
Đầu tư,Không đổi:,2025-12-16T00:08:36.183119
Đầu tư,60 CP,2025-12-16T00:08:36.183122
Đầu tư,TÁC ĐỘNG ĐẾN INDEX,2025-12-16T00:08:36.183126
Đầu tư,"VPB
TCX
BSR
VNM
VRE
VPX
GEE
MCH
LPB
VHM
VIC
VPL
-4
-2
0
2
1.63
1.45
0.98
0.81
0.71
-0.49
-0.73
-0.84
-0.91
-1.42
-1.83
-2.29",2025-12-16T00:08:36.183132
Đầu tư,"Tác động tăng
Tác động giảm",2025-12-16T00:08:36.183153
Đầu tư,Tác động tăng,2025-12-16T00:08:36.183157
Đầu tư,Tác động giảm,2025-12-16T00:08:36.183161
Đầu tư,"1Y
2Y
3Y
5Y
10Y
All",2025-12-16T00:08:36.183163
Đầu tư,"DIỄN BIẾN THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:36.183173
Đầu tư,"Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:36.183177
Đầu tư,"Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:36.183183
Đầu tư,Vốn hoá,2025-12-16T00:08:36.183186
Đầu tư,LNST,2025-12-16T00:08:36.183189
Đầu tư,SLCP lưu hành,2025-12-16T00:08:36.183192
Đầu tư,"PE THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Average: 14.18
P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:36.183203
Đầu tư,"Q4/2024
Q2/2025
Q3/2025
Average: 14.18",2025-12-16T00:08:36.183206
Đầu tư,Average: 14.18,2025-12-16T00:08:36.183209
Đầu tư,"P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:36.183214
Đầu tư,P/E thị trường,2025-12-16T00:08:36.183218
Đầu tư,Trung bình,2025-12-16T00:08:36.183222
Đầu tư,"E/P VNINDEX - LÃI SUẤT HUY ĐỘNG 12 THÁNG
Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:36.183231
Đầu tư,"GIÁ TRỊ TỰ DOANH RÒNG
1D
1W
1M",2025-12-16T00:08:36.183237
Đầu tư,"1D
1W
1M",2025-12-16T00:08:36.183239
Đầu tư,"Chart
Chart with 15 data points.",2025-12-16T00:08:36.183242
Đầu tư,Chart with 15 data points.,2025-12-16T00:08:36.183245
Đầu tư,"27/11
01/12
03/12
05/12
09/12
11/12
-500
0
500
1000
-5500
-5000
-4500
-4000",2025-12-16T00:08:36.183249
Đầu tư,"GIÁ TRỊ KHỐI NGOẠI RÒNG
1D
1W
1M",2025-12-16T00:08:36.183255
Đầu tư,"28/11
02/12
04/12
08/12
10/12
12/12
-1K
0
1K
2K
-123K
-121.5K
-120K
-118.5K",2025-12-16T00:08:36.183260
Đầu tư,"Ghi chú: gdp-thuc
Cá nhân
Thêm ghi chú bằng cách điền
vào ô bên dưới
Nhập ghi chú",2025-12-16T00:08:36.183270
Đầu tư,"Ghi chú: gdp-thuc
Cá nhân",2025-12-16T00:08:36.183275
Đầu tư,Ghi chú: gdp-thuc,2025-12-16T00:08:36.183279
Đầu tư,gdp-thuc,2025-12-16T00:08:36.183281
Đầu tư,Cá nhân,2025-12-16T00:08:36.183285
Đầu tư,"Thêm ghi chú bằng cách điền
vào ô bên dưới",2025-12-16T00:08:36.183291
Đầu tư,Nhập ghi chú,2025-12-16T00:08:36.183295
Đầu tư,"Thị trường
Ngành
Cổ phiếu",2025-12-16T00:08:36.183300
Đầu tư,Thị trường,2025-12-16T00:08:36.183303
Đầu tư,Ngành,2025-12-16T00:08:36.183306
Đầu tư,Cổ phiếu,2025-12-16T00:08:36.183310
Hệ thống ngân hàng,"Thư viện
Sửa đồ thị",2025-12-16T00:08:40.283396
Hệ thống ngân hàng,FDI dăng ký dự án,2025-12-16T00:08:40.283411
Hệ thống ngân hàng,FDI thực hiện,2025-12-16T00:08:40.283418
Hệ thống ngân hàng,"Mối quan hệ giữa vàng và lãi suất, bơm tiền",2025-12-16T00:08:40.283428
Hệ thống ngân hàng,%HUY ĐỘNG,2025-12-16T00:08:40.283432
Hệ thống ngân hàng,VĐT phát triển XH,2025-12-16T00:08:40.283436
Hệ thống ngân hàng,BÁN LẺ,2025-12-16T00:08:40.283439
Hệ thống ngân hàng,USD.VND 2025,2025-12-16T00:08:40.283442
